Date,Income,Expense,Category,Where,Payment Method,Measurement,Column
22-May-21,,70,"ขนม, รายจ่าย",NONE,Cash,Primary,
29-May-21,300,,รายรับ,NONE,Cash,Secondary,
30-May-21,300,,รายรับ,NONE,Cash,Secondary,
31-May-21,1900,,รายรับ,NONE,Cash,Tertiary,
31-May-21,,500,"ค่าเช่าหอพัก, รายจ่าย",Online,Bank,Primary,
31-May-21,,80,"ขนม, นม, รายจ่าย",ร้านค้า,Cash,Primary,
1-Jun-21,,84,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",Online,Bank,Primary,
3-Jun-21,,1090,"คอมพิวเตอร์, รายจ่าย",Online,Cash,Secondary,
4-Jun-21,,214,"คอมพิวเตอร์, รายจ่าย",Online,Cash,Secondary,
10-Jun-21,,130,"ขนม, รายจ่าย",Online,Cash,Primary,
15-Jun-21,100,,รายรับ,NONE,Cash,Tertiary,
16-Jun-21,,50,"ขนม, รายจ่าย",NONE,Cash,Secondary,
