วันที่,รายรับ,รายจ่าย,ชนิด,สถานที่,วิธีการชำระเงิน,เกณฑ์
8-Apr-21,400,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
8-Apr-21,,19,"รายจ่าย, เครื่องดื่ม",ร้านค้า,เงินสด,ปฐมภูมิ
8-Apr-21,,200,"ของกิน, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
9-Apr-21,,109,"รายจ่าย, เสื้อผ้าอาภรณ์",TESCOLOTUS,เงินสด,ทุติยภูมิ
9-Apr-21,,13,"รายจ่าย, เครื่องครัว",TESCOLOTUS,เงินสด,ปฐมภูมิ
9-Apr-21,,7,"น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
9-Apr-21,,20,"ของกิน, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
9-Apr-21,,30,"ข้าว, ข้าวเที่ยง, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
9-Apr-21,,100,"ตัดผม, รายจ่าย",ไม่ระบุ,เน็ตแบงค์,ปฐมภูมิ
9-Apr-21,,20,"ข้าว, ข้าวเช้า, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
10-Apr-21,,80,"ข้าวเช้า, รายจ่าย, เครื่องดื่ม",ออนไลน์,เงินสด,ปฐมภูมิ
10-Apr-21,,100,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
11-Apr-21,,80,"ขนม, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
12-Apr-21,,420,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,Wallet,ตติยภูมิ
13-Apr-21,,99,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
17-Apr-21,300,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
18-Apr-21,,90,"ข้าวเที่ยง, รายจ่าย, เข้าเย็น",ออนไลน์,Wallet,ปฐมภูมิ
18-Apr-21,,215,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,Wallet,ตติยภูมิ
18-Apr-21,,20,"ซักผ้า, รายจ่าย",ที่พัก,เงินสด,ปฐมภูมิ
18-Apr-21,,155,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ทุติยภูมิ
